"","id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
"344",978,1,0,0,1,1,0,1,0,0,0,0,2,5,2,6,3,7,5,6,6,5,10,5,25,60,2,"male",3,"25-29","Brazil",1,"Employed",4,"Graduate",7,">=3001€"
"345",979,0,1,1,1,1,0,0,1,1,0,0,5,6,4,5,6,4,4,4,4,4,35,10,20,35,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"347",986,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,1,1,1,1,1,25,25,25,25,1,"female",8,">=50","Germany",1,"Employed",1,"Less than high school",3,"1001-1500€"
"350",991,0,1,0,1,1,0,0,1,0,1,0,1,2,3,4,2,7,1,7,7,1,10,0,30,60,2,"male",3,"25-29","Chile",3,"Student",3,"Undergraduate",1,"<500€"
"351",996,0,1,0,1,0,1,1,0,0,0,0,1,7,1,1,7,2,4,3,2,4,20,20,30,30,2,"male",8,">=50","Germany",2,"Self-employed",4,"Graduate",7,">=3001€"
"353",1012,1,0,0,0,0,0,0,0,0,0,1,3,3,2,4,4,3,3,4,4,3,30,5,35,30,2,"male",3,"25-29","Croatia",3,"Student",4,"Graduate",1,"<500€"
"354",1013,0,0,0,1,1,1,0,0,0,1,0,4,2,2,5,5,6,5,6,5,6,20,10,30,40,2,"male",2,"18-24","France",3,"Student",4,"Graduate",2,"501-1000€"
"356",1018,0,1,0,0,0,0,0,0,0,0,1,2,3,2,4,2,4,4,3,3,5,30,10,30,30,2,"male",2,"18-24","United Kingdom",3,"Student",2,"High school",2,"501-1000€"
"358",1021,1,1,0,0,1,0,0,0,0,0,0,5,4,5,4,5,5,5,5,3,5,30,10,40,20,1,"female",2,"18-24","Germany",1,"Employed",3,"Undergraduate",2,"501-1000€"
"359",1023,0,0,0,1,0,0,0,0,0,0,0,1,1,1,4,1,2,2,2,2,1,20,0,40,40,1,"female",3,"25-29","Germany",1,"Employed",3,"Undergraduate",2,"501-1000€"
"360",1025,1,0,0,0,1,0,0,0,0,0,0,6,7,6,7,7,7,7,7,7,7,3,2,50,45,2,"male",8,">=50","Germany",1,"Employed",4,"Graduate",2,"501-1000€"
"361",1027,0,0,0,1,0,0,1,0,0,1,0,4,3,2,4,3,4,4,3,5,4,30,20,10,40,1,"female",2,"18-24","United Kingdom",3,"Student",3,"Undergraduate",8,"rather not say"
"364",1038,1,0,1,1,1,0,0,0,0,0,0,2,3,4,5,5,5,5,5,5,5,30,10,20,40,2,"male",3,"25-29","Spain",3,"Student",4,"Graduate",2,"501-1000€"
"365",1040,1,0,0,1,1,0,1,0,0,0,0,4,5,3,6,4,5,3,5,5,3,30,0,40,30,2,"male",8,">=50","Germany",1,"Employed",4,"Graduate",6,"2501-3000€"
"366",1043,0,0,0,1,1,0,1,0,0,1,0,3,2,2,5,5,3,4,5,4,5,30,0,50,20,1,"female",2,"18-24","Poland",3,"Student",3,"Undergraduate",2,"501-1000€"
"367",1045,0,0,0,1,1,0,0,0,0,0,0,2,2,2,2,2,2,4,3,3,3,15,0,80,5,1,"female",3,"25-29","Russia",1,"Employed",4,"Graduate",1,"<500€"
"369",1053,0,0,0,1,0,0,1,0,0,0,0,2,2,2,4,2,3,3,3,3,3,0,0,100,0,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",8,"rather not say"
"373",1061,1,0,0,1,0,1,0,0,0,0,0,5,4,4,5,6,4,4,3,4,4,20,30,10,40,3,"Prefer not to answer",3,"25-29","Germany",3,"Student",4,"Graduate",8,"rather not say"
"375",1075,1,1,0,1,1,0,1,0,0,1,0,5,6,4,5,6,6,5,6,5,3,10,5,25,60,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"377",1078,1,0,1,1,1,1,1,1,0,1,0,4,2,3,6,4,4,5,4,4,6,20,5,15,60,2,"male",2,"18-24","Germany",3,"Student",2,"High school",1,"<500€"
"378",1082,1,1,1,1,1,0,1,1,1,0,0,6,6,4,6,6,5,5,5,5,5,0,0,50,50,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",2,"501-1000€"
"383",1098,0,0,0,0,0,0,0,0,0,0,1,1,3,4,2,1,3,3,3,3,4,30,5,35,30,2,"male",3,"25-29","Germany",1,"Employed",4,"Graduate",3,"1001-1500€"
"386",1109,0,1,0,0,0,0,1,0,0,1,0,7,7,5,6,6,6,6,6,6,6,25,0,50,25,2,"male",2,"18-24","Afghanistan",3,"Student",3,"Undergraduate",8,"rather not say"
"387",1111,0,1,0,1,1,1,0,0,0,1,0,5,5,2,5,5,3,5,3,3,2,15,15,35,35,2,"male",2,"18-24","Germany",1,"Employed",3,"Undergraduate",3,"1001-1500€"
"391",1143,1,0,1,0,0,0,0,0,0,0,0,2,4,4,2,6,1,3,1,4,1,40,5,5,50,2,"male",8,">=50","Germany",5,"Retired",3,"Undergraduate",3,"1001-1500€"
"392",1157,0,1,0,1,1,0,0,0,0,1,0,5,5,2,5,5,5,5,2,6,4,20,20,10,50,1,"female",2,"18-24","Germany",3,"Student",2,"High school",3,"1001-1500€"
"393",1171,1,0,1,0,0,0,0,0,0,0,0,4,4,2,3,4,3,5,4,4,5,30,30,10,30,1,"female",8,">=50","Germany",5,"Retired",4,"Graduate",6,"2501-3000€"
"394",1180,0,1,0,1,1,1,1,0,0,1,0,3,2,2,4,3,4,5,4,6,5,15,25,30,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"395",1189,1,0,0,1,1,1,1,1,0,1,0,1,3,1,4,5,6,6,5,5,4,20,0,35,45,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"397",1208,0,1,0,1,1,1,1,0,0,1,0,6,6,2,6,6,2,6,6,2,6,20,10,30,40,2,"male",3,"25-29","Poland",1,"Employed",4,"Graduate",8,"rather not say"
"398",1213,0,1,0,1,0,1,1,0,0,1,0,2,5,3,5,4,6,6,6,7,5,35,10,50,5,2,"male",2,"18-24","Egypt",1,"Employed",3,"Undergraduate",1,"<500€"
"399",1225,0,1,0,1,1,1,1,0,0,0,0,3,5,1,5,5,5,5,5,5,3,20,10,10,60,1,"female",3,"25-29","Italy",3,"Student",3,"Undergraduate",2,"501-1000€"
"403",1270,0,0,0,1,1,1,1,0,0,1,0,6,6,2,7,7,3,6,3,3,4,30,10,30,30,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
"404",1273,0,0,0,0,1,0,1,0,0,1,0,3,2,1,4,3,4,5,5,4,5,20,20,10,50,1,"female",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
"405",1274,0,1,0,1,0,0,1,0,0,1,0,2,2,2,2,2,5,5,5,5,4,25,15,25,35,1,"female",2,"18-24","Germany",3,"Student",4,"Graduate",1,"<500€"
"408",1337,0,0,0,1,0,1,1,0,0,0,0,6,5,2,5,6,6,4,6,6,4,15,25,20,40,1,"female",3,"25-29","France",2,"Self-employed",4,"Graduate",4,"1501-2000€"
"409",1342,0,1,0,0,0,1,1,0,0,1,0,5,6,2,3,5,3,3,1,1,4,15,5,50,30,2,"male",2,"18-24","Tunisia",3,"Student",3,"Undergraduate",1,"<500€"
