"","id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
"46",149,0,0,0,1,1,0,0,0,0,0,0,4,5,2,4,4,4,4,5,5,4,30,20,10,40,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",5,"2001-2500€"
"47",150,1,0,0,0,0,1,1,0,0,0,0,5,5,2,6,4,4,1,4,4,1,42,6,2,50,1,"female",4,"30-34","Germany",1,"Employed",4,"Graduate",7,">=3001€"
"48",152,0,0,1,1,1,1,1,1,1,1,0,6,5,4,7,6,1,2,1,1,1,20,20,0,60,2,"male",3,"25-29","Germany",4,"Unemployed",3,"Undergraduate",7,">=3001€"
"51",157,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,5,3,5,5,3,20,10,35,35,2,"male",3,"25-29","Germany",1,"Employed",3,"Undergraduate",4,"1501-2000€"
"53",160,0,0,0,0,0,0,1,0,0,0,0,2,1,3,4,2,3,4,3,3,6,20,30,25,25,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"54",162,0,0,0,0,0,0,0,0,0,0,1,5,5,1,5,5,5,4,6,5,3,15,15,30,40,2,"male",3,"25-29","United States",1,"Employed",3,"Undergraduate",5,"2001-2500€"
"57",170,0,1,0,1,0,0,0,0,1,0,0,3,2,3,4,5,4,7,4,5,6,20,20,10,50,1,"female",2,"18-24","United States",3,"Student",3,"Undergraduate",6,"2501-3000€"
"58",177,0,0,0,1,0,0,0,0,0,0,0,2,2,1,4,2,1,4,2,2,2,35,10,30,25,2,"male",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
"59",178,0,0,0,1,0,1,1,0,0,1,0,2,2,1,4,2,3,3,3,3,3,30,10,30,30,1,"female",2,"18-24","Germany",3,"Student",3,"Undergraduate",1,"<500€"
"62",185,0,1,0,1,0,0,0,0,0,0,0,5,6,4,6,6,4,6,6,6,5,10,10,45,35,1,"female",2,"18-24","Belgium",3,"Student",4,"Graduate",1,"<500€"
"65",188,0,1,0,1,1,1,0,0,0,1,0,3,4,3,3,5,4,4,5,5,4,30,5,40,25,1,"female",2,"18-24","Belgium",3,"Student",3,"Undergraduate",1,"<500€"
