"id","Own","IntentToBuy","BrandAwareness_Anker","BrandAwareness_Bose","BrandAwareness_JBL","BrandAwareness_Philips","BrandAwareness_Sony","BrandAwareness_UE","BrandAwareness_HarmanKardon","BrandAwareness_Beats","BrandAwareness_None","SubjKnow_r1","SubjKnow_r2","SubjKnow_r3","SubjKnow_r4","SubjKnow_r5","PII_1","PII_2","PII_3","PII_4","PII_5","RelImp_battery","RelImp_weight","RelImp_price","RelImp_sound","Gender","GenderLabel","Age","AgeLabel","Residence","Occupation","OccupationLabel","Education","EducationLabel","Income","IncomeLabel"
883,1,0,0,1,1,0,1,0,0,1,0,5,6,1,2,5,5,5,5,5,5,15,0,50,35,2,"male",3,"25-29","Italy",3,"Student",4,"Graduate",2,"501-1000€"
898,0,1,1,1,1,1,1,0,0,0,0,2,4,1,5,5,4,4,4,4,4,10,10,40,40,1,"female",3,"25-29","Germany",1,"Employed",4,"Graduate",8,"rather not say"
900,1,1,0,1,1,1,1,1,0,0,0,6,6,6,6,6,3,3,3,3,3,10,25,40,25,2,"male",3,"25-29","Chile",1,"Employed",4,"Graduate",5,"2001-2500€"
902,0,1,0,1,0,0,1,0,0,0,0,6,6,3,4,6,6,6,5,4,6,20,10,10,60,2,"male",4,"30-34","Saudi Arabia",1,"Employed",3,"Undergraduate",6,"2501-3000€"
903,0,0,0,0,0,0,0,0,0,0,1,2,2,1,6,2,2,2,6,2,3,30,40,20,10,2,"male",8,">=50","Finland",1,"Employed",4,"Graduate",7,">=3001€"
905,1,0,0,1,1,1,1,0,0,1,0,6,7,4,6,6,6,5,6,6,5,15,0,60,25,2,"male",3,"25-29","Spain",3,"Student",4,"Graduate",8,"rather not say"
908,0,1,0,1,1,1,1,1,0,1,0,3,4,4,5,4,4,5,5,4,6,20,0,50,30,2,"male",4,"30-34","Germany",2,"Self-employed",4,"Graduate",3,"1001-1500€"
914,1,0,0,0,1,0,0,0,0,0,0,7,7,7,7,7,5,4,5,5,4,32,5,35,28,2,"male",3,"25-29","India",1,"Employed",4,"Graduate",1,"<500€"
921,0,1,0,1,1,0,1,0,0,0,0,2,2,1,2,2,3,3,3,4,2,0,0,0,100,3,"Prefer not to answer",3,"25-29","Germany",1,"Employed",4,"Graduate",8,"rather not say"
931,1,0,0,1,1,1,1,0,1,1,0,5,4,2,5,5,3,3,2,2,1,0,10,10,80,2,"male",4,"30-34","Germany",4,"Unemployed",4,"Graduate",7,">=3001€"
934,1,0,0,1,1,0,1,0,1,0,0,5,3,2,5,2,5,5,5,3,4,20,10,40,30,2,"male",2,"18-24","Czech Republic",3,"Student",3,"Undergraduate",2,"501-1000€"
936,1,0,0,1,1,0,0,0,0,0,0,3,2,2,4,6,5,4,5,5,4,35,10,25,30,2,"male",3,"25-29","Brazil",1,"Employed",4,"Graduate",4,"1501-2000€"
942,1,0,0,1,1,1,1,0,0,1,0,4,3,2,4,5,7,7,7,7,7,20,5,25,50,2,"male",2,"18-24","India",1,"Employed",4,"Graduate",2,"501-1000€"
949,0,1,0,0,1,1,1,0,0,1,0,3,2,4,3,2,2,5,4,4,2,35,15,25,25,3,"Prefer not to answer",3,"25-29","Germany",3,"Student",4,"Graduate",8,"rather not say"
959,1,1,0,1,1,0,0,0,0,1,0,3,3,2,4,5,5,5,5,5,5,20,5,25,50,2,"male",2,"18-24","Germany",3,"Student",2,"High school",2,"501-1000€"
969,1,0,0,1,0,1,1,0,0,1,0,2,6,2,6,6,2,3,3,3,6,50,30,5,15,2,"male",3,"25-29","Austria",1,"Employed",4,"Graduate",2,"501-1000€"
972,1,0,0,1,1,1,1,0,0,1,0,3,3,1,3,1,5,5,5,5,5,20,30,30,20,1,"female",3,"25-29","Germany",3,"Student",3,"Undergraduate",2,"501-1000€"
974,1,0,0,1,1,0,1,0,1,1,0,5,7,4,5,6,4,3,4,4,3,30,10,40,20,2,"male",4,"30-34","Germany",4,"Unemployed",4,"Graduate",3,"1001-1500€"
